id,name,age,marks,department,joining_date
101,Aarav Sharma,20.0,85.0,IT,2023-01-15
102,Priya Patel,21.0,92.0,HR,2023-02-10
103,Ishan Gupta,19.0,78.0,FINANCE,2023-01-20
105,Vihaan Shah,20.0,95.0,IT,2023-01-12
106,Meera Reddy,21.0,85.0,OPERATIONS,2023-04-01
107,Arjun Verma,19.0,81.0,FINANCE,2023-01-22
108,Sanya Malhotra,22.0,89.0,HR,2023-02-15
111,Aditya Bose,19.0,76.0,MARKETING,2023-03-12
112,Zara Khan,22.0,84.0,OPERATIONS,2023-04-05
113,Siddharth Nair,20.0,93.0,SALES,2023-05-12
114,Diya Iyer,21.0,82.0,FINANCE,2023-01-25
115,Karan Gill,19.0,70.0,IT,2023-01-18
116,Ishani Choudhury,22.0,96.0,HR,2023-02-20
118,Tanvi Jain,21.0,87.0,MARKETING,2023-03-20
119,Manav Malhotra,19.0,65.0,OPERATIONS,2023-04-10
120,Sneha Kapoor,22.0,90.0,IT,2023-01-22
